ros_timestamp,predicted_score,true_label,traversability_cost,w_slip,w_imu_rp,w_imu_gyro,w_wheel_speed,w_wheel_accel,gt_slip,gt_imu_rp,gt_imu_gyro,gt_wheel_speed,gt_wheel_accel
1770201979.2894,0.7625694274902344,0.9339025616645813,0.37838974595069885,0.1916602,0.2254514,0.23618694,0.16885896,0.17784248,0.9532832,0.97543824,0.9325715,0.83689386,0.97132605
1770201979.4841,0.7953677773475647,0.8842129111289978,0.31167587637901306,0.19914605,0.20980816,0.22530231,0.18892248,0.17682105,0.9074195,0.8393498,0.82674503,0.9098966,0.9376536
1770201979.7635,0.806963324546814,0.8927704691886902,0.44952768087387085,0.17861077,0.20843114,0.2336401,0.19910556,0.18021241,0.89277047,0.89277047,0.89277047,0.89277047,0.89277047
1770201980.1815,0.7650988101959229,0.9222347140312195,0.9579861760139465,0.19884098,0.22613907,0.22305158,0.18574949,0.1662189,0.92190015,0.81509984,0.95972556,0.96643305,0.94801474
1770201980.5992,0.7944884896278381,0.8680574297904968,0.6816549897193909,0.18262117,0.2125011,0.2801325,0.17947316,0.14527205,0.91564053,0.7915046,0.82609874,0.8628792,0.9441642
1770201981.0060,0.804976224899292,0.9339025616645813,0.41994020342826843,0.17835961,0.21650688,0.24698281,0.20221214,0.15593855,0.9532832,0.97543824,0.9325715,0.83689386,0.97132605
1770201981.2992,0.8149339556694031,0.8938388228416443,0.39298802614212036,0.17833966,0.24794699,0.23808819,0.18802604,0.1475992,0.8439072,0.84662503,0.91838497,0.91670483,0.9435717
1770201981.5621,0.8226451873779297,0.8823301196098328,0.32644787430763245,0.16384752,0.22352326,0.23494253,0.22105573,0.1566309,0.87721044,0.83098924,0.7873547,0.9783674,0.93772864
1770201981.9275,0.8362587690353394,0.8994520306587219,0.5225721001625061,0.19550459,0.2361789,0.21884523,0.19167377,0.15779743,0.91102004,0.8543751,0.8272422,0.965,0.9396229
1770201982.3514,0.8209214210510254,0.8994520306587219,0.49587899446487427,0.1848783,0.24389139,0.24027699,0.17338772,0.15756558,0.91102004,0.8543751,0.8272422,0.965,0.9396229
1770201982.5613,0.8322699069976807,0.9073058366775513,0.5735301971435547,0.19015327,0.26923996,0.20526455,0.18481833,0.15052393,0.88684803,0.8167616,0.90887684,0.9704367,0.953606
1770201983.0922,0.7995491027832031,0.889599621295929,0.6421992182731628,0.20016523,0.27857032,0.21225074,0.15898384,0.15002984,0.85485655,0.8125097,0.90886414,0.9302074,0.94156057
1770201983.2679,0.7366446256637573,0.9060994982719421,0.4165422022342682,0.20565596,0.26081613,0.2124969,0.15609069,0.16494028,0.9390825,0.84382826,0.8146858,0.9706287,0.9622724
1770201983.6764,0.7658201456069946,0.8806341290473938,1.0,0.20198202,0.2628317,0.21275698,0.15858516,0.16384418,0.8130483,0.79871935,0.8939668,0.95243937,0.9449968
1770201984.0296,0.7710291147232056,0.8745166659355164,0.9670941829681396,0.20382299,0.24731873,0.19246872,0.1808802,0.1755094,0.8538884,0.81041664,0.77441657,0.9714414,0.9624207
1770201984.3407,0.8222793340682983,0.9128198623657227,0.47060197591781616,0.2254014,0.26264295,0.18258983,0.16001053,0.1693553,0.86489195,0.8281829,0.9382504,0.9907674,0.94200665
1770201984.9301,0.7870776653289795,0.8855586051940918,0.6075703501701355,0.23024641,0.26133,0.16921689,0.17288734,0.16631933,0.8200324,0.8289571,0.89774966,0.9460504,0.9350036
1770201985.4697,0.774212658405304,0.8994520306587219,0.5037685632705688,0.20340113,0.2572488,0.20546225,0.15652966,0.17735822,0.91102004,0.8543751,0.8272422,0.965,0.9396229
1770201987.2729,0.7963609099388123,0.8823301196098328,0.5992884039878845,0.20289804,0.24089463,0.18926542,0.18986067,0.17708123,0.87721044,0.83098924,0.7873547,0.9783674,0.93772864
1770201989.2973,0.804649293422699,0.9339025616645813,0.504856526851654,0.19717455,0.24413967,0.20185147,0.18894917,0.16788514,0.9532832,0.97543824,0.9325715,0.83689386,0.97132605
1770201990.8982,0.8356186151504517,0.8994520306587219,0.544158399105072,0.20585199,0.22802943,0.1901561,0.19854748,0.17741503,0.91102004,0.8543751,0.8272422,0.965,0.9396229
1770201991.8275,0.7757811546325684,0.9339025616645813,0.8094048500061035,0.21592462,0.22791414,0.188266,0.19000092,0.17789435,0.9532832,0.97543824,0.9325715,0.83689386,0.97132605
1770201992.0762,0.7927724123001099,0.8824846148490906,0.6038380861282349,0.19687657,0.2509696,0.20794052,0.1803818,0.16383147,0.9145035,0.82874286,0.7833671,0.9424176,0.9433919
1770201992.4542,0.8149725198745728,0.8927704691886902,0.48660340905189514,0.17469865,0.2417712,0.23607942,0.18253762,0.16491309,0.89277047,0.89277047,0.89277047,0.89277047,0.89277047
1770201993.2913,0.8135548830032349,0.889599621295929,0.7773346900939941,0.19399089,0.25983095,0.21528077,0.17986898,0.15102838,0.85485655,0.8125097,0.90886414,0.9302074,0.94156057
1770201994.8004,0.8057373762130737,0.9073058366775513,0.5889368057250977,0.17283101,0.2652238,0.24397466,0.16510104,0.15286945,0.88684803,0.8167616,0.90887684,0.9704367,0.953606
1770201995.2435,0.8227787017822266,0.8655948638916016,0.6752421259880066,0.17577457,0.26000443,0.23490614,0.17631234,0.15300253,0.86559486,0.86559486,0.86559486,0.86559486,0.86559486
1770201995.3122,0.8137269020080566,0.9339025616645813,0.7544364333152771,0.22172976,0.20221421,0.22238977,0.18640827,0.16725802,0.9532832,0.97543824,0.9325715,0.83689386,0.97132605
1770201995.5539,0.7370178699493408,0.8823301196098328,0.8679190278053284,0.18979387,0.23475863,0.25810352,0.16231398,0.15503004,0.87721044,0.83098924,0.7873547,0.9783674,0.93772864
1770201996.0255,0.7827467918395996,0.9339025616645813,0.5181555151939392,0.20194131,0.21548387,0.22919258,0.18426466,0.16911757,0.9532832,0.97543824,0.9325715,0.83689386,0.97132605
1770201996.1595,0.7898503541946411,0.8655948638916016,0.5193473100662231,0.18503335,0.25696945,0.24340467,0.17243503,0.14215751,0.86559486,0.86559486,0.86559486,0.86559486,0.86559486
1770201996.4716,0.7925942540168762,0.8994520306587219,0.4339040517807007,0.19301076,0.24354675,0.24711388,0.16123427,0.15509436,0.91102004,0.8543751,0.8272422,0.965,0.9396229
1770201996.8630,0.748252272605896,0.9073058366775513,0.4655073285102844,0.18777631,0.25071484,0.24299192,0.16669631,0.15182063,0.88684803,0.8167616,0.90887684,0.9704367,0.953606
1770201997.0907,0.7034220695495605,0.9004126787185669,0.4351995289325714,0.19866265,0.23501788,0.22200689,0.1809202,0.16339238,0.9157974,0.8275773,0.85146916,0.9644985,0.94272083
1770201997.2958,0.7512445449829102,0.8824846148490906,0.3779710829257965,0.20153528,0.23711479,0.23211907,0.16749516,0.16173568,0.9145035,0.82874286,0.7833671,0.9424176,0.9433919
1770201997.8506,0.7069693803787231,0.9022508859634399,0.7171571850776672,0.2017777,0.23452114,0.2326839,0.18250753,0.14850974,0.94568723,0.8782218,0.76481,0.95629716,0.96623826
1770201998.1929,0.7145394682884216,0.8927704691886902,0.5269315838813782,0.2007183,0.20857735,0.21175857,0.19405244,0.18489335,0.89277047,0.89277047,0.89277047,0.89277047,0.89277047
1770201998.6679,0.718062698841095,0.9014150500297546,0.906461775302887,0.21535616,0.21478854,0.20085013,0.17829265,0.1907125,0.9182613,0.8072031,0.85222244,0.9848237,0.9445646
1770201999.0433,0.7509423494338989,0.8824846148490906,0.5062225461006165,0.2278405,0.2194044,0.19430114,0.17230633,0.18614763,0.9145035,0.82874286,0.7833671,0.9424176,0.9433919
